,Movie Name,Genre
35, The Bad Guys (2022),"[<span>Animation</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Comedy</span>, <span class=""ghost"">|</span>, <span>Crime</span>, <span class=""ghost"">|</span>, <span>Family</span>, <span>
<a href=""/name/nm2010048/"">Pierre Perifel</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt8115900"">
</a>
</span>]"
36, Doctor Strange in the Multiverse of Madness (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Fantasy</span>, <span class=""ghost"">|</span>, <span>Horror</span>, <span class=""ghost"">|</span>, <span>Sci-Fi</span>, <span>
<a href=""/name/nm0000600/"">Sam Raimi</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt9419884"">
</a>
</span>]"
37, 65 (2022),"[<span>Sci-Fi</span>, <span class=""ghost"">|</span>, <span>Thriller</span>, <span>
<a href=""/name/nm1399714/"">Scott Beck</a> </span>, <span class=""ghost"">|</span>, <span>
<a href=""/name/nm1456816/"">Bryan Woods</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt12261776"">
</a>
</span>]"
38, Legally Blonde 3 (2022),"[<span>Comedy</span>, <span>
<a href=""/name/nm9589396/"">Jamie Suk</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt8509238"">
</a>
</span>]"
39, Top Gun: Maverick (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Drama</span>, <span>
<a href=""/name/nm2676052/"">Joseph Kosinski</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt1745960"">
</a>
</span>]"
40, The Bob's Burgers Movie (2022),"[<span>Animation</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Comedy</span>, <span class=""ghost"">|</span>, <span>Musical</span>, <span>
<a href=""/name/nm0098908/"">Loren Bouchard</a> </span>, <span class=""ghost"">|</span>, <span>
<a href=""/name/nm0220615/"">Bernard Derriman</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt7466442"">
</a>
</span>]"
41, Untitled Elvis Presley Project (2022),"[<span>Biography</span>, <span class=""ghost"">|</span>, <span>Drama</span>, <span class=""ghost"">|</span>, <span>Music</span>, <span>
<a href=""/name/nm0525303/"">Baz Luhrmann</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt3704428"">
</a>
</span>]"
42, Jurassic World: Dominion (2022),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Sci-Fi</span>, <span class=""ghost"">|</span>, <span>Thriller</span>, <span>
<a href=""/name/nm1119880/"">Colin Trevorrow</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt8041270"">
</a>
</span>]"
43, Lightyear (2022),"[<span>Animation</span>, <span class=""ghost"">|</span>, <span>Action</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Comedy</span>, <span class=""ghost"">|</span>, <span>Family</span>, <span class=""ghost"">|</span>, <span>Sci-Fi</span>, <span>
<a href=""/name/nm0533691/"">Angus MacLane</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt10298810"">
</a>
</span>]"
44, Transformers: Rise of the Beasts (2023),"[<span>Action</span>, <span class=""ghost"">|</span>, <span>Adventure</span>, <span class=""ghost"">|</span>, <span>Sci-Fi</span>, <span>
<a href=""/name/nm4023702/"">Steven Caple Jr.</a> </span>, <span class=""wlb_wrapper"">
<a class=""wlb_watchlist_lite"" data-caller-name=""Title"" data-size=""small"" data-tconst=""tt5090568"">
</a>
</span>]"
